Ligand,Target,Predicted_pIC50
LIGAND_0,CHEMBL19,3.5744147
LIGAND_0,CHEMBL127,3.9420855
LIGAND_0,CHEMBL43,3.7304251
LIGAND_0,CHEMBL556,3.5642178
LIGAND_0,CHEMBL98,3.2224867
LIGAND_0,CHEMBL62,3.210395
LIGAND_0,CHEMBL287,3.3310513
LIGAND_0,CHEMBL327,3.7579849
LIGAND_0,CHEMBL49,3.1377678
LIGAND_0,CHEMBL97,2.839586
LIGAND_1,CHEMBL19,3.5744147
LIGAND_1,CHEMBL127,3.9420855
LIGAND_1,CHEMBL43,3.7304251
LIGAND_1,CHEMBL556,3.5642178
LIGAND_1,CHEMBL98,3.2224867
LIGAND_1,CHEMBL62,3.210395
LIGAND_1,CHEMBL287,3.3310513
LIGAND_1,CHEMBL327,3.7579849
LIGAND_1,CHEMBL49,3.1377678
LIGAND_1,CHEMBL97,2.839586
LIGAND_2,CHEMBL19,3.5744147
LIGAND_2,CHEMBL127,3.9420855
LIGAND_2,CHEMBL43,3.7304251
LIGAND_2,CHEMBL556,3.5642178
LIGAND_2,CHEMBL98,3.2224867
LIGAND_2,CHEMBL62,3.210395
LIGAND_2,CHEMBL287,3.3310513
LIGAND_2,CHEMBL327,3.7579849
LIGAND_2,CHEMBL49,3.1377678
LIGAND_2,CHEMBL97,2.839586
LIGAND_3,CHEMBL19,3.5744147
LIGAND_3,CHEMBL127,3.9420855
LIGAND_3,CHEMBL43,3.7304251
LIGAND_3,CHEMBL556,3.5642178
LIGAND_3,CHEMBL98,3.2224867
LIGAND_3,CHEMBL62,3.210395
LIGAND_3,CHEMBL287,3.3310513
LIGAND_3,CHEMBL327,3.7579849
LIGAND_3,CHEMBL49,3.1377678
LIGAND_3,CHEMBL97,2.839586
LIGAND_4,CHEMBL19,3.5744147
LIGAND_4,CHEMBL127,3.9420855
LIGAND_4,CHEMBL43,3.7304251
LIGAND_4,CHEMBL556,3.5642178
LIGAND_4,CHEMBL98,3.2224867
LIGAND_4,CHEMBL62,3.210395
LIGAND_4,CHEMBL287,3.3310513
